model_name,dataset,train_size,repetition,accuracy,precision_macro,recall_macro,f1_macro,max_depth
Árvore de Decisão,Iris,0.6,1,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,3
Árvore de Decisão,Iris,0.6,2,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,3
Árvore de Decisão,Iris,0.6,3,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,3
Árvore de Decisão,Iris,0.6,4,0.9333333333333333,0.936026936026936,0.9333333333333332,0.9331662489557226,3
Árvore de Decisão,Iris,0.6,5,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,3
Árvore de Decisão,Iris,0.6,6,0.95,0.9507101086048454,0.9499999999999998,0.9499687304565354,3
Árvore de Decisão,Iris,0.6,7,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,3
Árvore de Decisão,Iris,0.6,8,0.8833333333333333,0.8883205456095481,0.8833333333333333,0.8826733710454642,3
Árvore de Decisão,Iris,0.6,9,0.9,0.9023569023569024,0.9,0.899749373433584,3
Árvore de Decisão,Iris,0.6,10,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,3
Árvore de Decisão,Iris,0.6,1,0.95,0.9507101086048454,0.9500000000000001,0.9499687304565354,5
Árvore de Decisão,Iris,0.6,2,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,5
Árvore de Decisão,Iris,0.6,3,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,5
Árvore de Decisão,Iris,0.6,4,0.95,0.9507101086048454,0.9499999999999998,0.9499687304565354,5
Árvore de Decisão,Iris,0.6,5,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,5
Árvore de Decisão,Iris,0.6,6,0.95,0.9507101086048454,0.9499999999999998,0.9499687304565354,5
Árvore de Decisão,Iris,0.6,7,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,5
Árvore de Decisão,Iris,0.6,8,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,5
Árvore de Decisão,Iris,0.6,9,0.9,0.9023569023569024,0.9,0.899749373433584,5
Árvore de Decisão,Iris,0.6,10,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,5
Árvore de Decisão,Iris,0.6,1,0.95,0.9507101086048454,0.9500000000000001,0.9499687304565354,None
Árvore de Decisão,Iris,0.6,2,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,None
Árvore de Decisão,Iris,0.6,3,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,None
Árvore de Decisão,Iris,0.6,4,0.95,0.9507101086048454,0.9499999999999998,0.9499687304565354,None
Árvore de Decisão,Iris,0.6,5,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,None
Árvore de Decisão,Iris,0.6,6,0.95,0.9507101086048454,0.9499999999999998,0.9499687304565354,None
Árvore de Decisão,Iris,0.6,7,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,None
Árvore de Decisão,Iris,0.6,8,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,None
Árvore de Decisão,Iris,0.6,9,0.9,0.9023569023569024,0.9,0.899749373433584,None
Árvore de Decisão,Iris,0.6,10,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,None
Árvore de Decisão,Iris,0.7,1,0.9565217391304348,0.9607843137254902,0.9555555555555556,0.9553571428571429,3
Árvore de Decisão,Iris,0.7,2,0.9782608695652174,0.9803921568627452,0.9777777777777779,0.9784047370254267,3
Árvore de Decisão,Iris,0.7,3,0.9565217391304348,0.9607843137254902,0.9555555555555556,0.9553571428571429,3
Árvore de Decisão,Iris,0.7,4,0.9130434782608695,0.9188034188034188,0.9125,0.9131652661064426,3
Árvore de Decisão,Iris,0.7,5,0.9782608695652174,0.9803921568627452,0.9777777777777779,0.9784047370254267,3
Árvore de Decisão,Iris,0.7,6,0.9347826086956522,0.9369747899159663,0.9347222222222222,0.9352142110762801,3
Árvore de Decisão,Iris,0.7,7,0.9130434782608695,0.9138888888888889,0.9138888888888889,0.9138888888888889,3
Árvore de Decisão,Iris,0.7,8,0.9347826086956522,0.9345238095238096,0.9333333333333332,0.9332591768631814,3
Árvore de Decisão,Iris,0.7,9,0.9130434782608695,0.9298245614035089,0.9111111111111111,0.9095022624434389,3
Árvore de Decisão,Iris,0.7,10,0.9130434782608695,0.9298245614035089,0.9166666666666666,0.9131652661064426,3
Árvore de Decisão,Iris,0.7,1,0.9782608695652174,0.9791666666666666,0.9777777777777779,0.9777530589543938,5
Árvore de Decisão,Iris,0.7,2,0.9782608695652174,0.9803921568627452,0.9777777777777779,0.9784047370254267,5
Árvore de Decisão,Iris,0.7,3,0.9782608695652174,0.9791666666666666,0.9777777777777779,0.9777530589543938,5
Árvore de Decisão,Iris,0.7,4,0.9347826086956522,0.9369747899159663,0.9347222222222222,0.9352142110762801,5
Árvore de Decisão,Iris,0.7,5,0.9782608695652174,0.9803921568627452,0.9777777777777779,0.9784047370254267,5
Árvore de Decisão,Iris,0.7,6,0.9347826086956522,0.9369747899159663,0.9347222222222222,0.9352142110762801,5
Árvore de Decisão,Iris,0.7,7,0.9130434782608695,0.9138888888888889,0.9138888888888889,0.9138888888888889,5
Árvore de Decisão,Iris,0.7,8,0.9130434782608695,0.9111111111111111,0.9111111111111111,0.9111111111111111,5
